"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Aidoc","aidoc.com","United States","Artificial Intelligence (AI);Health Care;Machine Learning;Medical Device",579,"Series E","$150M","2026-04-29","$560M","Alpha Intelligence Capital;General Catalyst;Goldman Sachs Alternatives;Mercy;NVentures;SoftBank Investment Advisers;Square Peg Capital;Sutter Health;TCV;TLV Partners","United States","Israel;United States;United Kingdom;Spain;France;Malaysia;Thailand;Brazil;Canada;Denmark;Germany;India;Puerto Rico;South Africa;Turkey",1,32,"24%","remote","GoodFit","Recent funding: $150M Series E (2026-04-29) | Hiring in 1 countries outside HQ | 32 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Aiper","aiper.com","United States","Cleaning Products;Outdoors;Robotics",84,"Venture - Series UNKNOWN","$138M","2025-04-01","$213M","Borchid Capital;CMB International Capital Corporation;Fengqiao Capital;Fluidra;Fosun RZ Capital;XVC;Yunqi Partners","United States","China;France;United States;Canada;Singapore;Australia;Spain;Brazil;Germany;Philippines;Romania;Saudi Arabia",4,14,"20%","remote","GoodFit","Recent funding: $138M Venture - Series UNKNOWN (2025-04-01) | Hiring in 4 countries outside HQ | 14 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"AliveCor","alivecor.com","United States","Health Care;Information Technology;Medical Device;Mobile;Software",209,"Series F","","2022-08-16","$154M","Bold Capital Partners;Burrill & Company;GE Healthcare;Khosla Ventures;Mayo Clinic;Omron Healthcare;Oxford Finance LLC;Pegasus Tech Ventures;Qualcomm Ventures;Sweetwater Capital Partners;WP Global Partners","United States","United States;India;United Kingdom;Australia;Germany;Italy;Japan;South Africa;South Korea;Spain;Venezuela",2,12,"12%","remote","GoodFit","Recent funding:  Series F (2022-08-16) | Hiring in 2 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Alloy Therapeutics, Inc.","alloytx.com","United States","Biopharma;Biotechnology;Life Science;Therapeutics",140,"Series E","$40M","2026-04-15","$168M","8VC;Alexandria Venture Investments;Echo Capital;Founders Fund;Gaingels;JIC Venture Growth Investments;Mubadala Capital Ventures;Peter Thiel;Presight Capital;Thiel Capital;Ulysses Holdings","United Kingdom;United States","United States;United Kingdom;Japan;Switzerland;Canada;France;Jersey;Togo",,13,"14%","remote","GoodFit","Recent funding: $40M Series E (2026-04-15) | 13 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Altia","altia.com","United States","Computer;Manufacturing;Navigation;Robotics;Software",69,"Venture - Series UNKNOWN","$2M","2022-08-04","$3M","FirstMile Ventures","United States","United States;Japan;France;Germany;South Korea;India;Poland;Spain;United Kingdom",,,"","","GoodFit","Recent funding: $2M Venture - Series UNKNOWN (2022-08-04) | Source: GoodFit",,,,,,,
"Asieris Pharmaceuticals","asieris.com","United States","Biotechnology;Health Care;Medical;Pharmaceutical",60,"Series D","$106M","2020-11-11","$176M","C&D Emerging Investment;CICC;China Highrun Capital Limited;Gopher Asset Management;Haoshuo Zhier Fund;Homsun Capital;Lapam Capital;Qiming Venture Partners;SAIC Capital;TriWise Capital;Xiamen C&D Corporation;YF Capital;Yanchuang Capital","United States","China;United States;Australia;United Kingdom",1,34,"","","GoodFit","Recent funding: $106M Series D (2020-11-11) | Hiring in 1 countries outside HQ | 34 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Astera Labs","asteralabs.com","United States","Automotive;Electronics;Intelligent Systems;Semiconductor",939,"Series D","$150M","2022-11-17","$206M","Atreides Management;Edelweiss Capital;Employee Stock Option Fund;Fidelity;Going Investment S.A.;Intel Capital;Oceanic Partners;Sutter Hill Ventures;VentureTech Alliance","Canada;China;India;Israel;Taiwan;United States","United States;India;Canada;Israel;Taiwan;Vietnam;Germany;China;Singapore;Bangladesh;Netherlands;Pakistan;South Korea;Thailand;United Arab Emirates",3,203,"0%","remote;global team","GoodFit","Recent funding: $150M Series D (2022-11-17) | Hiring in 3 countries outside HQ | 203 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Atmosic Technologies","atmosic.com","United States","Industrial Manufacturing;Manufacturing;Semiconductor;Wireless",67,"Series D","$40M","2025-03-03","$140M","Arden Road Investment;Clear Ventures;Dolby Family Ventures;Quantum Innovation Fund;Sutter Hill Ventures;Walden International","United States","United States;Taiwan;Canada;China;South Korea;Sweden",1,6,"","","GoodFit","Recent funding: $40M Series D (2025-03-03) | Hiring in 1 countries outside HQ | 6 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Auterion","auterion.com","United States","Artificial Intelligence (AI);Drone Management;Drones;Information Technology;Open Source;Operating Systems;Robotics;Software",182,"Corporate Round","","2025-11-18","$184M","Bessemer Venture Partners;Costanoa Ventures;Lakestar;Mosaic Ventures;Rheinmetall;Tectonic Ventures;U.S. Department of Defense","Germany;Switzerland;United States","Switzerland;United States;Germany;United Kingdom;Australia;Austria;Canada;Poland;Rwanda;Slovakia;Slovenia;Ukraine",2,96,"7%","remote;global team","GoodFit","Recent funding:  Corporate Round (2025-11-18) | Hiring in 2 countries outside HQ | 96 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Automated Architecture (AUAR)","auar.io","United Kingdom","Architecture;Manufacturing;Robotics;Web Development",38,"Venture - Series UNKNOWN","$7M","2025-06-04","$11M","Carmel Rafaeli;Common Magic;Concrete Venture Capital;Dorothy Chou;Inclusive Ventures Lab;Innovate UK;Luke Appleby;Margarita Skarkou;Miles Ahead;Nicolas Bearelle;Planet A Ventures;Shadow Ventures","United Kingdom","United Kingdom;United States;Belgium;Germany;Greece",1,12,"25%","remote","GoodFit","Recent funding: $7M Venture - Series UNKNOWN (2025-06-04) | Hiring in 1 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Axelera AI","axelera.ai","Netherlands","AI Infrastructure;Artificial Intelligence (AI);Machine Learning;Semiconductor;Software",270,"Series C","$250M","2026-02-24","$453M","Bitfury Group;BlackRock;CDP Venture Capital;EIC Scaling Club;EuroHPC Joint Undertaking;European Innovation Council Fund;Innovation Industries;Invest-NL;Netherlands Enterprise Agency;SFPI-FPIM;Samsung Catalyst Fund;SiteGround Capital;Verve Ventures","Belgium;Netherlands;Switzerland","Netherlands;Switzerland;Italy;United Kingdom;United States;Belgium;France;Romania;Germany;Bulgaria;Greece;Spain;Austria;India;Poland;Portugal;Albania;Taiwan;Canada;Hungary;Indonesia;Ireland;Luxembourg;Mexico;Pakistan",36,598,"99%","remote;fully remote","GoodFit","Recent funding: $250M Series C (2026-02-24) | Hiring in 36 countries outside HQ | 598 open roles (last 3 mo) | 99% remote hiring | Source: GoodFit",,,,,,,
"BRINC Drones","brincdrones.com","United States","Aerospace;Artificial Intelligence (AI);Drones;Law Enforcement;Public Safety;Robotics",206,"Series B","$75M","2025-04-08","$157M","Adam Guild;Alameda Research;Dylan Field;Index Ventures;Mike Volpi;Motorola Solutions;Next Play Ventures;Ryan Petersen;Sam Altman;The Thiel Foundation","United States","United States;Brazil;Hong Kong",,44,"12%","remote","GoodFit","Recent funding: $75M Series B (2025-04-08) | 44 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Bear Robotics","bearrobotics.ai","United States","Artificial Intelligence (AI);Hospitality;Machine Learning;Robotics;Software",257,"Series C","$60M","2024-03-11","$176M","Cleveland Avenue;DSC Investment;IMM;IMM Private Equity;KT;LG Electronics;Lotte Accelerator;Smilegate Investment;SoftBank;Vela Partners","United States","South Korea;United States;Japan;Ireland;Taiwan;United Kingdom;Canada;Hong Kong;Vietnam",4,78,"","global team","GoodFit","Recent funding: $60M Series C (2024-03-11) | Hiring in 4 countries outside HQ | 78 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"BlueSpace.ai","bluespace.ai","United States","Artificial Intelligence (AI);Automotive;Autonomous Vehicles;Transportation",13,"Venture - Series UNKNOWN","","2021-01-01","$4M","Alumni Ventures;Atinum Partners;Blue Ivy Ventures;Fusion Fund;GDP Venture;Kakao Ventures;Plug and Play;Steve Chen;UMC Capital;Wasabi Ventures","United States","United States;Brazil;India;Netherlands",,,"","","GoodFit","Recent funding:  Venture - Series UNKNOWN (2021-01-01) | Source: GoodFit",,,,,,,
"Carbon Robotics","carbonrobotics.com","United States","AgTech;Artificial Intelligence (AI);Robotics;Software",293,"Series D","$21M","2025-10-22","$21M","Anthos Capital;Bolt;Bond;FUSE;Giant Ventures;Ignition Partners;NVentures;Revolution;Sozo Ventures;Voyager Capital","United States","United States;Netherlands;Canada;Australia;Germany;France;Austria;Spain;Italy;United Kingdom;Denmark;India;Switzerland",5,49,"41%","remote","GoodFit","Recent funding: $21M Series D (2025-10-22) | Hiring in 5 countries outside HQ | 49 open roles (last 3 mo) | 41% remote hiring | Source: GoodFit",,,,,,,
"Ceribell │ AI-Powered Point-of-Care EEG","ceribell.com","United States","Biotechnology;Health Care;Health Diagnostics;Medical Device",402,"Series C","$50M","2022-09-21","$171M","Ally Bridge Group;Horizon Technology Finance;LivaNova;Longitude Capital;Optimas Capital Partners Fund;RA Capital Management;Red Tree Venture Capital;Redmile Group;The Rise Fund","United States","United States;Italy;Armenia;Canada;China;Egypt;Germany;Kenya;Peru",,99,"37%","remote","GoodFit","Recent funding: $50M Series C (2022-09-21) | 99 open roles (last 3 mo) | 37% remote hiring | Source: GoodFit",,,,,,,
"Cradle","cradle.bio","Netherlands","Artificial Intelligence (AI);Biotechnology;Life Science;Product Research",117,"Series B","$73M","2024-11-26","$103M","Chris Gibson;Emily Leproust;IVP;Index Ventures;John Zimmer;Kindred Capital;Thomas Glocer","Netherlands;Switzerland","Switzerland;Netherlands;United States;Germany;United Kingdom;Sweden;Bangladesh;Czechia;Denmark;India;New Zealand;Portugal;Trinidad and Tobago",1,19,"11%","remote","GoodFit","Recent funding: $73M Series B (2024-11-26) | Hiring in 1 countries outside HQ | 19 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Cyted Health","cytedhealth.com","United Kingdom","Artificial Intelligence (AI);Biotechnology;Health Care;Medical Device",75,"Series B","$44M","2025-09-01","$83M","5Y Capital;Advent Life Sciences;BGF Ventures;British Business Bank;EQT Life Sciences;Innovate UK;MedTech Innovator;Morningside;NHS England;SBRI Healthcare","United Kingdom","United Kingdom;United States;Argentina",1,15,"20%","remote","GoodFit","Recent funding: $44M Series B (2025-09-01) | Hiring in 1 countries outside HQ | 15 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Deep Origin","deeporigin.com","United States","Analytics;Biotechnology;Life Science;Software",98,"Venture - Series UNKNOWN","$29M","2024-03-13","$29M","","Armenia;United States","United States;Armenia;Colombia;Ukraine;Brazil;Canada;Germany;India;Italy;Portugal;United Kingdom;Cyprus;France;Mexico;Serbia",3,52,"50%","remote","GoodFit","Recent funding: $29M Venture - Series UNKNOWN (2024-03-13) | Hiring in 3 countries outside HQ | 52 open roles (last 3 mo) | 50% remote hiring | Source: GoodFit",,,,,,,
"Derq","derq.com","United States","Artificial Intelligence (AI);Automotive;Autonomous Vehicles;Enterprise Software;Internet of Things;Machine Learning;Predictive Analytics;Public Safety;Smart Cities",73,"Venture - Series UNKNOWN","","2024-10-28","$4M","AT&T Ventures;Austin Ogilvie;Techstars;Wadi Makkah Ventures;e& capital","United Arab Emirates;United States","United States;United Arab Emirates;India;Lebanon;Pakistan;Colombia;Nigeria",4,37,"","","GoodFit","Recent funding:  Venture - Series UNKNOWN (2024-10-28) | Hiring in 4 countries outside HQ | 37 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Dexory","dexory.com","United Kingdom","Artificial Intelligence (AI);Data Visualization;Logistics;Retail Technology;Warehouse Automation;Warehousing",221,"Series C","$11M","2026-03-26","$291M","Atomico;Bootstrap Europe;British Business Bank;Capnamic;DTCP;Elaia;Endeavor Catalyst;Eurazeo;Kindred Capital;LTS Investments;Lakestar;Latitude Ventures;Schenker Ventures;WaVe-X","United Kingdom","United Kingdom;United States;France;Germany;Portugal;Austria;Brazil;Canada;Greece;India;Italy;Poland;Romania",2,127,"19%","remote","GoodFit","Recent funding: $11M Series C (2026-03-26) | Hiring in 2 countries outside HQ | 127 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Dot Compliance","dotcompliance.com","United States","Cloud Management;Compliance;Information Technology;Life Science;Medical Device;Pharmaceutical",224,"Series B","$18M","2024-04-15","$50M","Israel Growth Partners;TPY Capital;Vertex Ventures","Israel;United Kingdom;United States","Israel;United States;United Kingdom;Canada;South Africa;Germany;Australia;Austria;Netherlands;Nigeria;Spain",2,50,"33%","remote;global team;fully remote","GoodFit","Recent funding: $18M Series B (2024-04-15) | Hiring in 2 countries outside HQ | 50 open roles (last 3 mo) | 33% remote hiring | Source: GoodFit",,,,,,,
"Eko Health","ekohealth.com","United States","Artificial Intelligence (AI);Health Care;Health Diagnostics;Machine Learning;Medical Device;Software;mHealth",209,"Series D","$41M","2024-06-05","$170M","Artis Ventures;Dreamit Ventures;EDBI;Highland Capital Partners;Longevity Vision Fund;Morningside;NTT Venture Capital;National Institutes of Health;PROOF;Peak XV Partners;Questa Capital Management;Sand Hill Angels;What If Ventures","United States","United States;Nigeria;India;Greece;Canada;Germany;Poland;China;Malaysia;Turkey;Albania;Colombia;Costa Rica;Cyprus;Ecuador;France;Haiti;Hungary;Indonesia;Mexico;Montenegro;Pakistan;Singapore;Sweden;Ukraine;United Arab Emirates;United Kingdom",1,22,"","","GoodFit","Recent funding: $41M Series D (2024-06-05) | Hiring in 1 countries outside HQ | 22 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Element Biosciences","elementbiosciences.com","United States","Biotechnology;Genetics;Health Diagnostics;Life Science",435,"Series D","$277M","2024-07-11","$678M","Fidelity;Foresite Capital;JS Capital Management;Samsung Electronics;T. Rowe Price;Venrock;Wellington Management","United States","United States;Germany;Netherlands;France;United Kingdom;Canada;China;Japan;Singapore;Switzerland;Hong Kong;Indonesia;Poland;Spain;Taiwan",4,37,"38%","remote;global team","GoodFit","Recent funding: $277M Series D (2024-07-11) | Hiring in 4 countries outside HQ | 37 open roles (last 3 mo) | 38% remote hiring | Source: GoodFit",,,,,,,
"EnCharge AI","enchargeai.com","United States","AI Infrastructure;Artificial Intelligence (AI);Embedded Software;Semiconductor;Software",92,"Series B","$100M","2025-02-13","$163M","AlleyCorp;Anzu Partners;CTBC Capital;Constellation Technology Ventures;DARPA;Maverick Silicon;SIP Global Partners;Samsung Ventures;Scout Ventures;Tiger Global Management;Vanderbilt University;VentureTech Alliance","United States","United States;Canada;Germany;India;Norway;South Korea",1,163,"18%","remote","GoodFit","Recent funding: $100M Series B (2025-02-13) | Hiring in 1 countries outside HQ | 163 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Etched","etched.com","United States","AI Infrastructure;Artificial Intelligence (AI);Computer;Hardware;Semiconductor",405,"Venture - Series UNKNOWN","$500M","2026-01-19","$505M","Dolik Ventures;Fundomo;Lightscape Partners;Mei Z.;Oceans;Palantir Technologies;Peter Thiel;Positive Sum;Primary Venture Partners;Ribbit Capital;Stripes","United States","United States;Taiwan;Canada;Brazil;Bulgaria;Nepal;Serbia;United Kingdom",1,196,"3%","remote","GoodFit","Recent funding: $500M Venture - Series UNKNOWN (2026-01-19) | Hiring in 1 countries outside HQ | 196 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"FORT Robotics","fortrobotics.com","United States","Cyber Security;Industrial Automation;Robotics;Security",52,"Series B","$25M","2022-07-12","$38M","Ahoy Capital;Compound;Creative Ventures;FundersClub;GRIDS Capital;Lemnos VC;Mark Cuban;Prime Movers Lab;Prologis Ventures;Tiger Global Management","United States","United States;Brazil;United Kingdom",2,66,"100%","remote","GoodFit","Recent funding: $25M Series B (2022-07-12) | Hiring in 2 countries outside HQ | 66 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"FieldAI","fieldai.com","United States","Enterprise Software;Robotic Process Automation (RPA);Robotics",249,"Corporate Round","","2026-02-22","$405M","BHP Ventures;Bezos Expeditions;Canaan Partners;Emerson Collective;Hyundai Motor Group;Intel Capital;Khosla Ventures;NVentures;Prysm Capital;Samsung NEXT;Temasek Holdings","United States","United States;India;Japan;Singapore;Spain;Canada;Denmark;Kenya;United Kingdom",4,151,"35%","remote;global team","GoodFit","Recent funding:  Corporate Round (2026-02-22) | Hiring in 4 countries outside HQ | 151 open roles (last 3 mo) | 35% remote hiring | Source: GoodFit",,,,,,,
"Formic","formic.co","United States","Industrial Automation;Manufacturing;Robotics;Software",105,"Corporate Round","$100K","2025-10-21","$99M","Alumni Ventures;Blackhorn Ventures;Evolution Ventures;FJ Labs;Gaingels;Humanoid Global;Initialized Capital;Lux Capital;Mitsubishi Electric Innovation Fund;Roman Smolevskiy;Trajectory Ventures","United States","United States;Canada;Colombia;India",,78,"81%","remote;fully remote","GoodFit","Recent funding: $100K Corporate Round (2025-10-21) | 78 open roles (last 3 mo) | 81% remote hiring | Source: GoodFit",,,,,,,
"Foxglove","foxglove.dev","United States","Artificial Intelligence (AI);Computer;Information Technology;Robotics;Software",88,"Series B","$40M","2025-11-12","$59M","Alex Kendall;Amplify Partners;Bessemer Venture Partners;Boris Sofman;Brad Porter;Chris Walti;Eclipse;Icehouse Ventures;Lindon Gao;Milan Kovac;Tobias Lütke","United States","United States;Australia;United Kingdom;Argentina;Canada;France;Germany;Poland;Portugal;Spain;Thailand",1,28,"100%","remote","GoodFit","Recent funding: $40M Series B (2025-11-12) | Hiring in 1 countries outside HQ | 28 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"Fractile","fractile.ai","United Kingdom","AI Infrastructure;Artificial Intelligence (AI);Hardware;Semiconductor",95,"Series B","$220M","2026-05-13","$241M","01 Advisors;8VC;ARIA;Accel;Buckley Ventures;Conviction;Factorial Funds;Felicis;Founders Fund;Kindred Capital;NATO Innovation Fund;Oxford Science Enterprises;Patrick Gelsinger","United Kingdom","United Kingdom;United States;Belgium",1,58,"5%","remote","GoodFit","Recent funding: $220M Series B (2026-05-13) | Hiring in 1 countries outside HQ | 58 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Gather AI","gather.ai","United States","Artificial Intelligence (AI);Drones;Logistics;Robotics;Supply Chain Management",99,"Series B","$40M","2026-02-09","$74M","Bain Capital Ventures;Bling Capital;Dundee Venture Capital;Smith Point Capital;The Hillman Company;Tribeca Venture Partners;XRC Ventures","United States","United States;India;Malaysia;Philippines",1,43,"7%","remote","GoodFit","Recent funding: $40M Series B (2026-02-09) | Hiring in 1 countries outside HQ | 43 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Hesai Technology","hesaitech.com","United States","Autonomous Vehicles;Laser;Manufacturing;Sensor;Transportation",254,"Series D","$70M","2021-11-17","$603M","Baidu;Bosch;CPE;GL Ventures LLC;Hillhouse Investment;Huatai Securities;Lightspeed China Partners;Lightspeed Venture Partners;Meituan;Pagoda Investment;Qiming Venture Partners;Xiaomi","China;Germany;United States","China;United States;Germany;Japan;Hong Kong;Australia;Canada;Ireland;Singapore;South Korea;Thailand;Turkey;United Kingdom",1,14,"","global team","GoodFit","Recent funding: $70M Series D (2021-11-17) | Hiring in 1 countries outside HQ | 14 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Hydrosat","hydrosat.com","United States","Aerospace;AgTech;Analytics;Artificial Intelligence (AI);Big Data;Geospatial;Information Services;Machine Learning",105,"Series B","$60M","2026-01-15","$96M","Cultivation Capital;European Investment Fund;Hartree Partners;OTB Ventures;Santa Barbara Venture Partners;Source Agriventures Inc.;Space4Earth;Statkraft Ventures;Subutai Capital Partners;Synovia Capital;Techstars;The Luxembourg Future Fund;Truffle Capital","United States","United States;Luxembourg;Netherlands;France;Germany;Belgium;Canada;Colombia;Guatemala;India;Kazakhstan;Spain;United Arab Emirates;United Kingdom",1,18,"64%","remote","GoodFit","Recent funding: $60M Series B (2026-01-15) | Hiring in 1 countries outside HQ | 18 open roles (last 3 mo) | 64% remote hiring | Source: GoodFit",,,,,,,
"HyperLight","hyperlightcorp.com","United States","Electronics;Internet;Semiconductor;Software",78,"Series B","$37M","2024-09-23","$37M","Foothill Ventures;Summit Partners;The Engine;UMC Capital;Xora Innovation","United States","United States;Singapore;Canada",1,53,"4%","remote;global team","GoodFit","Recent funding: $37M Series B (2024-09-23) | Hiring in 1 countries outside HQ | 53 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Iambic","iambic.ai","United States","Artificial Intelligence (AI);Health Care;Machine Learning;Software;Therapeutics",153,"Venture - Series UNKNOWN","$99M","2025-11-10","$302M","Abingworth;Alumni Ventures;Ascenta Capital;Catalio Capital Management;Coatue;EXOR N.V.;Freeflow Ventures;Illumina Ventures;Mubadala Capital;Pegasus Tech Ventures;Qatar Investment Authority;Regeneron Ventures;Sequoia Capital;Wilson Sonsini Goodrich & Rosati","United States","United States;United Kingdom;Brazil;Canada;Denmark;Germany;Poland;Sweden",1,45,"26%","remote","GoodFit","Recent funding: $99M Venture - Series UNKNOWN (2025-11-10) | Hiring in 1 countries outside HQ | 45 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Imagen Technologies","imagen.ai","United States","Artificial Intelligence (AI);Biotechnology;Health Care;Health Diagnostics;Primary and Urgent Care;Software",166,"Series C","$75M","2021-02-05","$134M","Allen & Company;Casdin Capital;Expanding Capital;Google Ventures;Kli Capital;Teamworthy Ventures;Threshold;Zach Weinberg","United States","United States;Argentina;Brazil;Mexico;Pakistan",,104,"82%","remote;work from anywhere;fully remote","GoodFit","Recent funding: $75M Series C (2021-02-05) | 104 open roles (last 3 mo) | 82% remote hiring | Source: GoodFit",,,,,,,
"Kernel","kernel.com","United States","Intelligent Systems;Life Science;Neuroscience",55,"Venture - Series UNKNOWN","$5M","2023-12-01","$158M","Bryan Johnson;Eldridge Industries;General Catalyst;Khosla Ventures;Manta Ray Ventures;Tiny Blue Dot","United States","United States;India;Mexico;Ukraine;United Kingdom;Albania;Germany;Kenya;Nigeria;Spain",1,16,"","","GoodFit","Recent funding: $5M Venture - Series UNKNOWN (2023-12-01) | Hiring in 1 countries outside HQ | 16 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Lifebit","lifebit.ai","United States","Artificial Intelligence (AI);Bioinformatics;Biotechnology;Cloud Data Services;Genetics;Life Science;Machine Learning;Pharmaceutical;Software",68,"Series B","$60M","2021-09-28","$71M","Beacon Capital;Connect Ventures;Eurazeo;Idinvest Partners;Pentech Ventures;Techstars;Tiger Global Management;Tiny VC","United States","United Kingdom;United States;Greece;Portugal;Spain;Germany;Gibraltar;Hong Kong;Moldova;Netherlands;Serbia;Singapore",2,11,"100%","remote;work from anywhere;fully remote","GoodFit","Recent funding: $60M Series B (2021-09-28) | Hiring in 2 countries outside HQ | 11 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"LightForce","lf.co","United States","3D Printing;Advanced Materials;Dental;Health Care",351,"Series D","$80M","2023-08-02","$151M","AM Ventures;Ally Bridge Group;American Association of Orthodontists;CareCapital;Kleiner Perkins;Matrix;Matter Venture Partners;Omega Venture Partners;Transformation Capital;Tyche Partners","United States","United States;Costa Rica;Ukraine;Canada;Israel;Australia;Estonia;Austria;New Zealand;Poland",1,22,"23%","remote","GoodFit","Recent funding: $80M Series D (2023-08-02) | Hiring in 1 countries outside HQ | 22 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Locus Robotics","locusrobotics.com","United States","E-Commerce;Industrial Automation;Logistics;Robotics;Warehouse Automation;Warehousing",475,"Series F","$117M","2022-11-29","$416M","Bond;G2 Venture Partners;Goldman Sachs Asset Management;HESTA;Hercules Capital;Newton Investment Management;Scale Venture Partners;Silicon Valley Bank;Stack Capital;Stafford Capital Partners;SuRo Capital;Tiger Global Management;Zebra Ventures","Netherlands;United States","United States;United Kingdom;Netherlands;Canada;Germany;Spain;India;Portugal;Australia;Belgium;France;Poland;Argentina;Bosnia and Herzegovina;Denmark;Greece;Hong Kong;Italy;Lithuania;Pakistan;Paraguay;Singapore",4,41,"27%","remote","GoodFit","Recent funding: $117M Series F (2022-11-29) | Hiring in 4 countries outside HQ | 41 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Loft Orbital","loftorbital.com","United States","Aerospace;Satellite Communication;Space Travel",349,"Series C","$170M","2025-01-14","$336M","AXIAL Partners;Arkenstone Partners;BlackRock;Bpifrance;Foundation Capital;GSBackers;Starburst Ventures;Supernova Invest;Temasek Holdings;Tikehau Capital;Tribeca Venture Partners;Uncork Capital","France;United States","United States;France;Canada;Switzerland;United Kingdom;Italy;Ukraine;Australia;Czechia;Turkey;United Arab Emirates",2,70,"3%","remote;global team","GoodFit","Recent funding: $170M Series C (2025-01-14) | Hiring in 2 countries outside HQ | 70 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Lumotive","lumotive.com","United States","Autonomous Vehicles;Drones;Electronics;Robotics;Semiconductor;Sensor",81,"Corporate Round","","2025-05-07","$58M","BIRD Foundation;Eastbridge Group;Gates Frontier Fund;Grazia Equity;Himax Technologies;Hokuyo Capital;ITHCA group;MetaVC Partners;Samsung Ventures;Swisscom Ventures;TSVC;USAA","Canada;United States","United States;Canada;Oman;France;Singapore",2,10,"10%","remote","GoodFit","Recent funding:  Corporate Round (2025-05-07) | Hiring in 2 countries outside HQ | 10 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Maneva","maneva.ai","Canada","Artificial Intelligence (AI);Industrial Automation;Machinery Manufacturing;Robotics",77,"Venture - Series UNKNOWN","$38M","2026-05-13","$48M","Behind Genius;Bling Capital;Evolution VC Partners;Freestyle Capital;Henry Shi;N49P;Seguin Ventures","Canada","",1,19,"18%","remote","GoodFit","Recent funding: $38M Venture - Series UNKNOWN (2026-05-13) | Hiring in 1 countries outside HQ | 19 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Manna Air Delivery","manna.aero","Ireland","Drones;E-Commerce;Food Delivery;Logistics",157,"Series B","$50M","2026-04-01","$80M","ARK Investment Management;Coca-Cola Hellenic Bottling Company;Dynamo;EIC Scaling Club;Enterprise Ireland;Gaingels;Ireland Strategic Investment Fund;Molten Ventures;Schooner Capital;Tapestry VC;ff Venture Capital","Ireland","Ireland;United States;India;Finland;United Kingdom;Nigeria;Spain;United Arab Emirates;Vietnam",2,38,"","","GoodFit","Recent funding: $50M Series B (2026-04-01) | Hiring in 2 countries outside HQ | 38 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Matternet","matternet.com","United States","Drones;Logistics;Transportation",55,"Venture - Series UNKNOWN","","2024-09-04","$74M","5G Ventures;Boeing HorizonX Ventures;Levitate Capital;McKesson Ventures;Mercedes-Benz Group AG;Sahin Boydas;Sony Innovation Fund;Swiss Post Ventures;Wealthing VC Club","United States","United States;Saudi Arabia;Switzerland;United Kingdom;Monaco",,6,"","","GoodFit","Recent funding:  Venture - Series UNKNOWN (2024-09-04) | 6 open roles (last 3 mo) | Source: GoodFit",,,,,,,
