"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Sword Health","swordhealth.com","United States","Artificial Intelligence (AI);Health Care;Medical;Therapeutics;mHealth",1179,"Venture - Series UNKNOWN","$40M","2025-06-17","$491M","Armilar Venture Partners;Comcast Ventures;General Catalyst;Indico Capital Partners;Khosla Ventures;Lince Capital;Michal Valko;Oxy Capital;Sapphire Ventures;Shilling VC;Transformation Capital;Vesalius Biocapital Partners","United States","Portugal;United States;United Kingdom;Germany;Brazil;Canada;Spain;Poland;France;Ireland;South Africa;Australia;Austria;Belgium;Bulgaria;Georgia;India;Malaysia;Netherlands;Switzerland;Zimbabwe",6,172,"91%","remote;work from anywhere;fully remote","GoodFit","Recent funding: $40M Venture - Series UNKNOWN (2025-06-17) | Hiring in 6 countries outside HQ | 172 open roles (last 3 mo) | 91% remote hiring | Source: GoodFit",,,,,,,
"Synthesia","synthesia.io","United Kingdom","Artificial Intelligence (AI);Content Creators;Foundational AI;Generative AI;Software;Video;Video Editing",780,"Series E","$200M","2026-01-26","$537M","Accel;Adobe Ventures;Air Street Capital;Evantic Capital;FirstMark;Google Ventures;Hedosophia;Kleiner Perkins;LDV Capital;MMC Ventures;NVentures;New Enterprise Associates;PSP Growth","Denmark;Germany;Grenada;Netherlands;Switzerland;United Kingdom;United States","United Kingdom;United States;Germany;France;Spain;Switzerland;Denmark;Ireland;Netherlands;Czechia;Slovenia;Italy;Philippines;Bulgaria;Singapore;Sweden;Austria;Canada;Greece;Hungary;India;New Zealand;Nigeria;Poland;Portugal;United Arab Emirates;Argentina;Croatia;Lithuania;Malaysia;Morocco;Pakistan;Serbia;Taiwan;Vietnam",1,135,"47%","remote;work from anywhere;fully remote","both","Recent funding: $200M Series E (2026-01-26) | Hiring in 1 countries outside HQ | 135 open roles (last 3 mo) | 47% remote hiring | Source: both",,,,,,,
"Tavus","tavus.io","United States","Artificial Intelligence (AI);Developer Platform;Generative AI;Software;Video",89,"Series B","$40M","2025-11-12","$64M","Alumni Ventures;CRV;Correlation Ventures;Flex Capital;HubSpot Ventures;SV Angel;Scale Venture Partners;Sequoia Capital;Seven Stars;Y Combinator","United States","United States;United Kingdom;Germany;India;Italy;China;France;Canada;Mexico;Poland;Singapore;Spain;Vietnam",,43,"18%","remote","GoodFit","Recent funding: $40M Series B (2025-11-12) | 43 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Tecton","tecton.ai","United States","AI Infrastructure;Analytics;Artificial Intelligence (AI);Machine Learning;Predictive Analytics",93,"Series C","$100M","2022-07-12","$160M","Andreessen Horowitz;Bain Capital Ventures;Databricks Ventures;Kleiner Perkins;Sequoia Capital;Snowflake Ventures;Tiger Global Management","United States","United States;Chile;India;Brazil;Morocco;Austria;Ecuador;France;Ireland;Italy;Kenya;Philippines;Saudi Arabia;Sri Lanka;United Arab Emirates",,,"","","GoodFit","Recent funding: $100M Series C (2022-07-12) | Source: GoodFit",,,,,,,
"Terabase Energy","terabase.energy","United States","Energy;Software;Solar",208,"Series C","$130M","2025-03-13","$205M","Breakthrough Energy Ventures;City Light Capital;EDP Ventures;Fifth Wall;Powerhouse Ventures;Prelude Ventures;SJF Ventures;SoftBank Vision Fund","United States","United States;Philippines;France;Mexico;Canada;India;Portugal;Serbia;Spain;Switzerland",2,65,"75%","remote;global team","GoodFit","Recent funding: $130M Series C (2025-03-13) | Hiring in 2 countries outside HQ | 65 open roles (last 3 mo) | 75% remote hiring | Source: GoodFit",,,,,,,
"Together AI","together.ai","United States","AI Infrastructure;Artificial Intelligence (AI);Generative AI;IT Infrastructure;Internet;Open Source",380,"Series B","$305M","2025-02-20","$534M","Alumni Ventures;Brave Capital;Chapter One;DAMAC Capital;General Catalyst;Greycroft;Kleiner Perkins;Long Journey Ventures;Lux Capital;NVIDIA;Prosperity7 Ventures;Salesforce Ventures;Scott Banister;SignalRank","United States","United States;Netherlands;United Kingdom;India;Canada;Germany;Australia;Singapore;France;Ireland;Israel;Morocco;Norway;Pakistan;Portugal;Romania;Togo;Uganda;United Arab Emirates;Zambia",2,79,"20%","remote","GoodFit","Recent funding: $305M Series B (2025-02-20) | Hiring in 2 countries outside HQ | 79 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Tools for Humanity","toolsforhumanity.com","United States","Artificial Intelligence (AI);Blockchain;Hardware;Software",476,"Series C","","2023-05-25","$126M","Apollo Projects;Bain Capital Crypto;Blockchain Capital;CoinFund;Distributed Global;Hydrazine Capital;Khosla Ventures;Tiger Global Management;Wealthing VC Club;a16z crypto","Germany;United States","United States;Germany;Argentina;Mexico;United Kingdom;Ireland;Philippines;Poland;Brazil;Colombia;Spain;India;Singapore;Japan;France;Greece;Kenya;Portugal;South Korea;Chile;Croatia;Hong Kong;Indonesia;Peru;Albania;Andorra;Australia;Czechia;Ecuador;French Polynesia;Georgia;Italy;Montenegro;Nepal;Slovakia;Slovenia;Uganda;United Arab Emirates;Venezuela",4,81,"7%","remote;global team","GoodFit","Recent funding:  Series C (2023-05-25) | Hiring in 4 countries outside HQ | 81 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Tributech","tributech.io","United Kingdom","B2B;Information Technology;Internet of Things;Security;Sharing Economy",20,"Venture - Series UNKNOWN","","2018-01-01","$0","tech2b Inkubator","United Kingdom","Austria;United States;United Arab Emirates;United Kingdom",1,4,"","","GoodFit","Recent funding:  Venture - Series UNKNOWN (2018-01-01) | Hiring in 1 countries outside HQ | 4 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"VAST Data","vastdata.com","United States","AI Infrastructure;Artificial Intelligence (AI);Database;Software",1192,"Series F","$1.0B","2026-04-22","$1.4B","Access Industries;Bond;Drive Capital;Fidelity;Mellanox Capital;N47;NVIDIA;New Enterprise Associates;Tiger Global Management","Israel;United States","United States;Israel;United Kingdom;India;Canada;Germany;Australia;Singapore;United Arab Emirates;Iceland;Japan;Netherlands;France;South Korea;Switzerland;Italy;Saudi Arabia;Spain;Ukraine;China;Poland;Cyprus;Egypt;Ireland;Nigeria;Pakistan;Peru;Russia;Serbia;South Africa;Sweden",12,320,"2%","remote;global team;fully remote;remote company","GoodFit","Recent funding: $1.0B Series F (2026-04-22) | Hiring in 12 countries outside HQ | 320 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Vendia","vendia.com","United States","Artificial Intelligence (AI);Blockchain;Cloud Infrastructure;Data Governance;Data Integration;Data Management;Generative AI;PaaS;SaaS;Software",93,"Series B","$30M","2022-05-30","$51M","Aspenwood Ventures;BMW i Ventures;Canvas Ventures;Lux Capital;Neotribe Ventures;NewView Capital;Neythri Futures Fund;Operator Partners;Sorenson Capital;Swaroop Kolluri","United States","United States;India;Israel;Poland;Slovakia",,6,"100%","remote","GoodFit","Recent funding: $30M Series B (2022-05-30) | 6 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
