Ad clicked Date,Ad Title/Id
2025/07/27 20:38:16 UTC,742150936
2025/06/11 03:08:35 UTC,707465786
2025/07/27 23:32:56 UTC,742150936
2025/06/11 03:09:15 UTC,707465786
2025/08/21 08:19:32 UTC,832058556
2025/06/11 03:09:23 UTC,707465786
2025/01/06 11:48:54 UTC,200008464
2025/06/11 03:17:31 UTC,707465786
2025/08/24 17:54:15 UTC,767977383
2025/06/11 03:17:34 UTC,707465786
2025/04/23 07:03:40 UTC,664281396
2025/06/11 03:18:00 UTC,707465786
2025/04/23 09:06:08 UTC,620444636
2025/06/11 03:18:00 UTC,707465786
2026/02/13 09:08:48 UTC,898373686
2025/06/11 03:18:20 UTC,707465786
2025/10/09 04:18:58 UTC,886154996
2025/06/11 03:18:26 UTC,707465786
2025/01/05 08:39:37 UTC,532357004
2025/06/11 03:18:46 UTC,707465786
2025/01/05 09:38:54 UTC,479722234
2025/06/11 03:18:50 UTC,707465786
2025/09/14 07:35:31 UTC,853700356
2025/07/15 17:35:17 UTC,695384596
2025/09/14 07:35:40 UTC,853700356
2025/07/10 19:41:35 UTC,699249414
2025/09/15 03:23:46 UTC,449454476
2025/08/28 23:11:29 UTC,449500676
2025/10/25 00:57:50 UTC,718080814
2025/09/24 08:38:04 UTC,870268676
2025/07/18 12:15:21 UTC,796656616
2025/09/24 08:38:06 UTC,870268676
2025/07/18 12:15:58 UTC,796656616
2025/09/24 08:38:08 UTC,870268676
2025/07/18 12:18:08 UTC,647715984
2025/09/24 08:38:15 UTC,870268676
2025/02/06 01:51:08 UTC,506808586
2025/09/24 08:38:16 UTC,870268676
2025/02/06 01:51:10 UTC,506808586
2025/09/24 08:38:31 UTC,870268676
2025/07/18 18:29:21 UTC,585527534
2025/09/24 08:38:40 UTC,870268676
2025/07/18 18:29:23 UTC,585527534
2025/09/24 08:38:42 UTC,870268676
2025/07/18 18:30:05 UTC,585527534
2025/09/24 08:38:08 UTC,870268676
2025/07/18 18:31:17 UTC,585527534
2025/09/24 08:38:09 UTC,870268676
2024/12/02 05:35:43 UTC,545960016
2025/09/24 08:38:10 UTC,870268676
2024/12/02 05:35:44 UTC,545960016
2025/09/24 08:38:12 UTC,870268676
2024/12/02 05:35:59 UTC,545960016
2025/09/24 08:38:13 UTC,870268676
2025/03/07 02:03:26 UTC,427864244
2025/09/24 08:38:19 UTC,870268676
2025/03/07 02:03:30 UTC,427864244
2025/09/24 08:38:36 UTC,870268676
2025/03/07 02:24:37 UTC,639823116
2025/09/24 08:38:40 UTC,870268676
2025/12/31 07:20:58 UTC,826884554
2025/09/24 08:38:40 UTC,870268676
2025/12/20 00:00:37 UTC,884932236
2025/09/24 08:38:41 UTC,870268676
2025/02/04 20:09:48 UTC,506808586
2025/04/28 17:51:32 UTC,616044076
2025/02/04 20:09:52 UTC,506808586
2025/07/20 20:04:45 UTC,696511533
2025/08/22 03:44:30 UTC,721932554
2025/07/20 20:04:46 UTC,696511533
2025/08/22 05:22:37 UTC,832334586
2025/07/20 20:04:47 UTC,696511533
2025/12/12 18:35:31 UTC,895070114
2026/01/16 21:40:49 UTC,561461204
2025/05/01 05:49:05 UTC,568407026
2025/09/22 19:40:26 UTC,832154826
2025/06/05 19:38:03 UTC,623746304
